team_name;elo
Arsenal;1852
Aston Villa;1741
Brentford;1714
Bournemouth;1630
Brighton;1760
Chelsea;1899
Crystal Palace;1754
Everton;1699
Fulham;1636
Leicester;1780
Leeds;1703
Liverpool;2035
Man City;2025
Man Utd;1811
Newcastle;1757
Nott'm Forest;1612
Southampton;1672
Spurs;1867
West Ham;1783
Wolves;1725
